order_id;checkout_id;brand_id;retailer_id;order_amount;has_discount;fees_percentage;payment_cost_percentage;shipping_cost_euro;net_margin;is_profitable
11941;4087;1109;7140;243.38;0;0.15;0.05;15.3561783;8.9818217;1
10041;2375;570;1414;124.5;0;0.15;0.05;15.3064735;-2.8564735;0
5577;1275;23;1344;141.12;0;0.15;0.05;15.3;-1.188;0
2913;590;139;513;128.28;0;0.15;0.05;15.3;-2.472;0
11491;3949;1199;6126;304.8;0;0.15;0.05;15.3;15.18;1
1061;573;93;557;126.48;0;0.15;0.05;15.28;-2.632;0
1669;281;92;789;104;0;0.15;0.05;15.249616;-4.849616;0
3684;1500;111;3735;112.44;0;0.15;0.05;15.24;-3.996;0
1661;798;400;1975;105.2;0;0.15;0.05;15.24;-4.72;0
7287;2662;961;4416;121.44;0;0.15;0.05;15.24;-3.096;0
11203;3534;985;2461;636.65;0;0.15;0.05;15.17;48.495;1
9341;3315;820;6294;122.4;0;0.15;0.05;15.14;-2.9;0
5443;2086;157;4763;127.39;0;0.15;0.05;15.1248598;-2.3858598;0
6055;414;386;1179;186;0;0.15;0.05;15.1;3.5;1
8883;3072;386;5968;114.7;0;0.15;0.05;15.1;-3.63;0
9688;3037;820;5417;111;0;0.15;0.05;15.1;-4;0
7247;961;909;2265;129.6;0;0.15;0.05;15.1;-2.14;0
5702;2191;909;4920;135;100;0.05;0.05;15.07;-115.07;0
2836;1277;463;3151;135.24;0;0.15;0.05;15.05;-1.526;0
9606;390;750;668;119.85;0;0.15;0.05;15.05;-3.065;0
9831;2841;750;2735;118.69;0;0.15;0.05;15.05;-3.181;0
9859;1372;967;178;240.3;0;0.15;0.05;15.05;8.98;1
8240;1037;967;1046;240.3;0;0.15;0.05;15.05;8.98;1
10081;1239;985;2461;171.12;0;0.15;0.05;15.05;2.062;1
891;491;135;180;166.5;0;0.15;0.05;15.0399122;1.6100878;1
3207;1437;181;3343;108;0;0.15;0.05;15.02;-4.22;0
5251;2026;799;4687;100.5;0;0.15;0.05;15.02;-4.97;0
379;177;40;211;117.74;0;0.15;0.05;15;-3.226;0
10037;3514;40;6313;116.48;100;0.05;0.05;15;-115;0
5575;1275;44;1344;113.94;0;0.15;0.05;15;-3.606;0
987;405;54;172;188.88;0;0.15;0.05;15;3.888;1
1573;766;95;1931;326.58;100;0.05;0.05;15;-115;0
1575;768;95;1937;364.14;100;0.05;0.05;15;-115;0
1798;849;95;1997;369.54;100;0.05;0.05;15;-115;0
